Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
511246,BOMTALKIES,BOMBAY TALKIES LIMITED,Active,X,1.0,INE910D01024,Finance (including NBFCs),Equity
511254,SAGARSYST,SAGAR SYSTECH LTD.,Active,XT,10.0,INE771Z01015,,Equity
511260,ICONIKSPEV,ICONIK SPORTS AND EVENTS LIMIT,Active,X,10.0,INE088P01015,,Equity
511333,VLSFINANCE,VLS FINANCE LTD.,Active,B,10.0,INE709A01018,Other Financial Services,Equity
511355,INDCEMCAP,INDIA CEMENTS CAPITAL LTD.,Active,XT,10.0,INE429D01017,Finance (including NBFCs),Equity
511359,ADMANUM,AD-MANUM FINANCE LTD.,Active,X,10.0,INE556D01017,Finance (including NBFCs),Equity
511377,MEHIF,MEHTA INTEGRATED FINANCE LTD.,Active,X,10.0,INE240B01012,Finance (including NBFCs),Equity
511391,INTRGLB,INTER GLOBE FINANCE LTD.,Active,X,10.0,INE661M01016,Finance (including NBFCs),Equity
511401,MCLTD,MUNOTH COMMUNICATION LIMITED,Active,X,10.0,INE410E01015,Other Financial Services,Equity
511411,SHRISTI,SHRISTI INFRASTRUCTURE DEVELOP,Active,X,10.0,INE472C01027,Construction & Engineering,Equity
511413,CREST,CREST,Active,B,10.0,INE559D01011,Misc.Commercial Services,Equity
511431,VAKRANGEE,VAKRANGEE LIMITED,Active,B,1.0,INE051B01021,Specialty Retail,Equity
511441,GUJCRED,GUJARAT CREDIT CORPORATION LTD,Active,X,10.0,INE034B01019,,Equity
511447,SYLPH,Sylph Industries Limited,Active,X,1.0,INE706F01021,,Equity
511451,DHARFIN,DHARANI FINANCE LTD.,Active,XT,10.0,INE899D01011,Finance (including NBFCs),Equity
511463,ALEXANDER,Alexander Stamps And Coin Limi,Active,X,10.0,INE191N01012,,Equity
511473,INDBANK,INDBANK MERCHANT BANKING SERVI,Active,B,10.0,INE841B01017,Other Financial Services,Equity
511493,SHRYDUS,SHRYDUS INDUSTRIES LIMITED,Active,XT,10.0,INE488C01015,Finance (including NBFCs),Equity
511501,BHARAT,Bharat Bhushan Finance & Commo,Active,X,10.0,INE900A01013,Other Financial Services,Equity
511505,CAPTRUST,CAPITAL TRUST LTD.,Active,T,10.0,INE707C01018,Finance (including NBFCs),Equity
511507,USHAKIRA,USHAKIRAN FINANCE LTD.,Active,X,10.0,INE697C01011,Finance (including NBFCs),Equity
511509,VIVOBIOT,VIVO BIO TECH LTD.,Active,B,10.0,INE380K01017,Biotechnology,Equity
511523,VEERHEALTH,VEERHEALTH CARE LIMITED,Active,XT,10.0,INE882C01035,,Equity
511525,PANINDIAC,PAN INDIA CORPORATION LTD.,Active,X,10.0,INE376A01032,IT Software Products,Equity
511533,SAHARAHOUS,SAHARA HOUSINGFINA CORPORATION,Active,X,10.0,INE135C01012,Housing Finance,Equity
511535,NDASEC,NDA SECURITIES LTD.,Active,X,10.0,INE026C01013,Other Financial Services,Equity
511539,SUPRATRE,Supra Trends Limited,Active,X,10.0,INE533B01028,,Equity
511543,GSBFIN,GSB FINANCE LTD.,Active,XT,10.0,INE777C01011,Finance (including NBFCs),Equity
511549,MORARKFI,MORARKA FINANCE LTD.,Active,X,10.0,INE367A01015,Finance (including NBFCs),Equity
511551,MONARCH,Monarch Networth Capital Limit,Active,B,10.0,INE903D01011,Other Financial Services,Equity
511557,PROFINC,PRO FIN CAPITAL SERVICES LTD.,Active,Z,1.0,INE732K01027,,Equity
511559,TEAMGTY,TEAM INDIA GUARANTY LIMITED,Active,B,10.0,INE289C01025,Finance (including NBFCs),Equity
511563,SANCF,SANCHAY FINVEST LTD.,Active,Z,10.0,INE654D01010,,Equity
511571,CRESCENTIS,Crescentis Capital Limited,Active,X,10.0,INE754C01010,Finance (including NBFCs),Equity
511577,MANTRA,Mantra Capital Limited,Active,X,10.0,INE304E01010,Finance (including NBFCs),Equity
511585,BEFOUNDMOL,BEFOUND MOVEMENT LIMITED,Active,XT,1.0,INE425F01028,,Equity
511589,AVONMORE,AVONMORE CAPITAL & MANAGEMENT,Active,B,1.0,INE323B01024,,Equity
511593,LIBORDFIN,LIBORD FINANCE LTD,Active,X,10.0,INE212B01011,Finance (including NBFCs),Equity
511601,YASHMGM,YASH MANAGEMENT & SATELLITE LT,Active,X,10.0,INE216B01012,Finance (including NBFCs),Equity
511605,ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD.,Active,B,1.0,INE420B01036,,Equity
511609,ISLCONSUL,ISL CONSULTING LTD.,Active,X,5.0,INE569B01022,,Equity
511611,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,B,10.0,INE891B01012,Finance (including NBFCs),Equity
